Date	Title	URL
17-Mar-2015	Lena Reinhard – “A Talk About Nothing” | .concat() 2015	https://www.youtube.com/watch?v=D3e3V66TH2Y
24-Mar-2015	Write/Speak/Code: Intro	http://blog.sqisland.com/2015/03/write-speak-code.html
24-Mar-2015	Write/Speak/Code: Write	http://blog.sqisland.com/2015/03/write-speak-code-write.html
24-Mar-2015	Write/Speak/Code: Speak	http://blog.sqisland.com/2015/03/write-speak-code-speak.html
24-Mar-2015	Write/Speak/Code: Code	http://blog.sqisland.com/2015/03/write-speak-code-code.html
24-Mar-2015	Uncomfortable	http://naramore.net/blog/uncomfortable
24-Mar-2015	Put yourself in airplane mode	http://www.beleaderly.com/put-yourself-in-airplane-mode/
24-Mar-2015	7 Weird Tips No One Told Me About Speaking	http://pwnela.com/speaking/2015/03/18/weird-speaking-tips.html
24-Mar-2015	THE YEAR OF BEING VISIBLE	http://www.catehuston.com/blog/2015/03/23/the-year-of-being-visible/
24-Mar-2015	Dame Steve Shirley, the World’s First Freelance Programmer	http://www.brainpickings.org/2013/12/06/dame-steve-shirley-freelance-programmer/
31-Mar-2015	How I sucked it up, got over my fear, and became really good at public speaking	http://www.beleaderly.com/public-speaking/
31-Mar-2015	A Tale of Two Talks	http://www.web-goddess.org/archive/13069
31-Mar-2015	A simple solution to all-male panels at tech conferences	http://fortune.com/2015/03/17/a-simple-solution-to-all-male-panels-at-tech-conferences/
31-Mar-2015	LAMENT OF THE DELICIOUS LIBRARIAN	http://www.jessiechar.com/post/16838586904/lament-of-the-delicious-librarian
31-Mar-2015	How to write a conference proposal	http://blowmage.com/2013/01/24/writing-conf-proposals
31-Mar-2015	Self.conference (Detroit May 29-30) are offering diversity scholarships	http://selfconference.org/scholarship_applications
31-Mar-2015	Kate Heddleston: So you want to be a full-stack developer? How to build a full-stack Py - PyCon 2014	https://www.youtube.com/watch?v=8uxQOzKi3_0
7-Apr-2015	Great Speakers Are Like Yoda, Not Luke Skywalker	http://www.inc.com/kimberly-weisul/nancy-duarte-on-presentation-mistakes-star-wars-and-investor-pitches.html
7-Apr-2015	The Single Best Thing You Can Do For Your Career	http://www.donnfelker.com/the-single-best-thing-you-can-do-for-your-career/
7-Apr-2015	How I Prep in the 24 Hours Before Giving a Conference Talk	http://blog.sashalaundy.com/blog/2015/02/23/how-i-prep-in-the-24-hours-before-a-conference-talk/
7-Apr-2015	How I Prepare a New Talk	http://timkadlec.com/2014/06/how-i-prepare-a-new-talk/
7-Apr-2015	30 of the Most Inspiring Things Anyone Ever Said	http://www.inc.com/bill-murphy-jr/30-of-the-most-inspiring-things-anyone-ever-said.html
14-Apr-2015	Speaking? Tips.	http://mezzoblue.com/archives/2006/02/27/speaking_ti/
14-Apr-2015	The Art of the Keynote	http://guykawasaki.com/the-art-of-the-keynote/
14-Apr-2015	HELP ME HELP YOU	http://www.jennapederson.com/help-me-help-you/
14-Apr-2015	THE ATTENTION GAME	http://www.catehuston.com/blog/2015/04/08/the-attention-game/
14-Apr-2015	Neil DeGrasse Tyson Explains Why The Cosmos Shouldn't Make You Feel Small	http://www.npr.org/templates/transcript/transcript.php?storyId=283443670
14-Apr-2015	Media interview smarts: Do you have to answer the question?	http://www.dontgetcaught.biz/2012/09/media-interview-smarts-do-you-have-to.html
14-Apr-2015	8 things to do in a media interview so you'll get called again	http://www.dontgetcaught.biz/2012/03/8-things-to-do-in-media-interview-so.html
14-Apr-2015	What does it take to be a good interview guest?	http://www.dontgetcaught.biz/2013/06/what-does-it-take-to-be-good-interview.html
14-Apr-2015	The Voices in Your Head, OR How NPR reporters do their voicing	http://blog.sciencegeekgirl.com/2009/03/08/the-voices-in-your-head-or-how-npr-reporters-do-their-voicing/
14-Apr-2015	Codes that changed the world	http://www.bbc.co.uk/programmes/b05qqhqp/episodes/downloads
21-Apr-2015	Getting Into Speaking	http://bradfrost.com/blog/post/on-speaking/
21-Apr-2015	The secret sauce of message crafting: You are not your audience	http://www.dontgetcaught.biz/2013/01/the-secret-sauce-of-message-crafting.html
21-Apr-2015	You Hate Yourself Because We Told You To	https://medium.com/@nkkl/you-hate-yourself-because-we-told-you-to-9beb5cf3bed3
21-Apr-2015	SPEAKING TIPS	http://chriscoyier.net/2013/09/17/speaking-tips/
21-Apr-2015	Nice girls don’t get the Keynote	http://mavericktester.com/archive/nice-girls-dont-get-the-keynote/
21-Apr-2015	Cascadia Ruby Conf 2012 A Taste of Prolog by Aja Hammerly	https://www.youtube.com/watch?v=hEOVcLAPRG8
28-Apr-2015	Karen McGrane - Requirements for speaking	https://the-pastry-box-project.net/karen-mcgrane/2013-july-8
28-Apr-2015	Road test your slides for better performance	http://seizetheroom.com/articles/road-test-your-slides/
28-Apr-2015	5 Things We Learned Producing #IncDev: The Virtual Conference	https://medium.com/@mikellsolution/5-things-we-learned-producing-incdev-the-virtual-conference-7ade1894d40a
28-Apr-2015	I have personally contributed to conference programs without women: I won’t again	http://www.womensagenda.com.au/talking-about/opinions/i-have-personally-contributed-to-conference-programs-without-women-i-wont-again/201503195481#.VcM4MEJVikq
28-Apr-2015	BOOK: THE ELOQUENT WOMAN’S GUIDE TO MODERATING PANELS	http://www.catehuston.com/blog/2015/04/24/book-the-eloquent-womans-guide-to-moderating-panels/
28-Apr-2015	The Best Panel Ever: A How-To Guide	https://www.linkedin.com/pulse/best-panel-ever-how-to-guide-karen-catlin
28-Apr-2015	Famous Speech Friday: Monica Lewinsky at TED 2015	http://eloquentwoman.blogspot.co.uk/2015/04/famous-speech-friday-monica-lewinsky-at.html
5-May-2015	How to sound smart in your TEDx Talk | Will Stephen | TEDxNewYork	https://www.youtube.com/watch?v=8S0FDjFBj8o
5-May-2015	It’s Only Natural to Get Nervous	http://femgineer.com/2015/04/its-only-natural-to-get-nervous/
5-May-2015	Bad Hostess. The Untidy House of Helen Razer - About	http://badhostess.com/about-2/
5-May-2015	Houston, We Have A Problem.	http://rubywankenoobie.tumblr.com/post/116816118275/houston-we-have-a-problem
5-May-2015	Codes of Conduct 101 + FAQ	http://www.ashedryden.com/blog/codes-of-conduct-101-faq
5-May-2015	Building a psychologically safe workplace: Amy Edmondson at TEDxHGSE	https://www.youtube.com/watch?v=LhoLuui9gX8
12-May-2015	Get comfortable	http://danielmall.com/articles/get-comfortable/
12-May-2015	2 Simple Steps to Start Getting Paid to Speak	http://femgineer.com/2015/04/2-simple-steps-to-getting-paid-to-speak/
12-May-2015	Codes of conduct and the trade-offs of copyleft	http://crookedtimber.org/2015/04/10/codes-of-conduct-and-the-trade-offs-of-copyleft/
12-May-2015	Speak at your local elementary school.	http://marcysutton.com/speak-at-your-local-elementary-school/
12-May-2015	How I prepare conference talks	http://lizabinante.com/blog/how-i-prepare-conference-talks/
12-May-2015	Velocity Diversity Scholarships	http://velocityconf.com/devops-web-performance-2015/public/sv/q/690
12-May-2015	Strange Loop is offering Opportunity Grants	https://thestrangeloop.com/attendees/opportunity-grants
12-May-2015	Kathleen Danielson - Avoiding Burnout, and other essentials of Open Source Self-Care - PyCon 2015	https://www.youtube.com/watch?v=RbeHBnWfXUc
19-May-2015	Stop the conference committees?	http://www.royvanrijn.com/blog/2015/05/stop-the-conference-committees/
19-May-2015	Conference speaking, transparency and fairness	https://www.rachelandrew.co.uk/archives/2014/05/02/conference-speaking-transparency-and-fairness/
19-May-2015	Why men are prone to interrupting women #manterrupting	https://www.facebook.com/WOMENinWORLD/videos/10155446995675437/?fref=nf
19-May-2015	Calling attention to meetings with skewed speaker gender ratios, even when it hurts, part 2	http://phylogenomics.blogspot.co.uk/2015/03/calling-attention-to-meetings-with.html
19-May-2015	An MRI technique 10 times faster than the standard and developed at the Beckman Institute for Advanced Science & Technology captures the movements of singing and speaking in (practically) real time.	https://www.facebook.com/EurekAlert/videos/10153176904751327/?fref=nf
19-May-2015	"Famous Speech Friday: Stella Young's ""I'm not your inspiration"""	http://eloquentwoman.blogspot.co.uk/2015/04/famous-speech-friday-stella-youngs-im.html
